b'"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"CSLC-501","Introduction to Comparative Media Studies","","4.0 units","Lecture","22074D","001","2:00-4:50pm","Monday","14","0","0","Samuel Steinberg","THH111"
"CSLC-502","Introduction to Literary Theory","","4.0 units","Lecture","22075D","001","6:00-8:50pm","Monday","14","0","0","Veli N Yashin","THH109"
"CSLC-512","Literary and Cinematic Translingualism and Translation","C","4.0 units, max 8","Lecture","22102D","001","2:00-4:50pm","Tuesday","9","8","0","Brian Bernards","VKC103"
"CSLC-590","Directed Research","","1.0-12.0 units","Lecture","22085D","001","TBA","TBA","10","0","0","","OFFICE"
"CSLC-602","Seminar in Literary Theory","","4.0 units, max 12","Lecture","22088D","001","2:00-4:50pm","Wednesday","9","7","0","Neetu Khanna","THH111"
"CSLC-700","Professional Development II: Writing the Prospectus","","2.0 units","Lecture","22089D","001","5:00-7:50pm","Tuesday","15","2","0","Antonia Szabari","THH115"
"CSLC-790","Research","","1.0-12.0 units, max 12","Lecture","22094D","001","TBA","TBA","10","0","0","","OFFICE"
"CSLC-794a","Doctoral Dissertation","","2.0 units","Lecture","22095D","001","TBA","TBA","10","0","0","","OFFICE"
"CSLC-794b","Doctoral Dissertation","P","2.0 units","Lecture","22096D","001","TBA","TBA","10","4","0","","OFFICE"
"CSLC-794c","Doctoral Dissertation","P","2.0 units","Lecture","22097D","001","TBA","TBA","10","1","0","","OFFICE"
"CSLC-794d","Doctoral Dissertation","P","2.0 units","Lecture","22098D","001","TBA","TBA","10","1","0","","OFFICE"
"CSLC-794z","Doctoral Dissertation","P","0.0 units","Lecture","22099D","001","TBA","TBA","12","2","0","","OFFICE"
'
